School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
Aspirations Diploma Plus HS(BN),Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,DISORDERLY CONDUCT,V
Aspirations Diploma Plus HS(BN),Summons,On-Site,No,Full-Time,N,Y,Y,UTF,No Restraints,N,None,,DISORDERLY CONDUCT,V
Aspirations Diploma Plus HS(BN),Arrested,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,ASSAULT,,M
Aspirations Diploma Plus HS(BN),Arrested,Off-Site,No,Full-Time,N,N,N,PATROL,Metal,N,None,BURGLARY,,F
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Arrested,Off-Site,No,Full-Time,N,N,Y,UTF,Metal,N,None,GRAND LARCENY,,F
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Arrested,Off-Site,No,Full-Time,N,N,Y,UTF,Metal,N,None,ASSAULT,,M
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
AUGUST MARTIN HS(QS) ,Summons,On-Site,No,Full-Time,N,Y,Y,PATROL,Metal,N,None,,DISCON: FIGHTING,V
AUGUST MARTIN HS(QS) ,Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
