Index,Name3,Team,Salary
406,Naji Marshall,New Orleans Pelicans,1930681
211,Nassir Little,Phoenix Suns,6250000
116,Naz Reid,Minnesota Timberwolves,12950400
364,Nerlens Noel,Sacramento Kings,2019706
160,Nic Claxton,Brooklyn Nets,9625000
236,Nick Richards,Charlotte Hornets,5000000
322,Nick Smith Jr.,Charlotte Hornets,2463960
244,Nickeil Alexander-Walker,Minnesota Timberwolves,4687500
131,Nicolas Batum,Philadelphia 76ers,11710818
4,Nikola Jokic,Denver Nuggets,47607350
333,Nikola Jovic,Miami Heat,2352000
84,Nikola Vucevic,Chicago Bulls,18518519
289,Noah Clowney,Brooklyn Nets,3089520
88,Norman Powell,LA Clippers,18000000
198,Obi Toppin,Indiana Pacers,6803012
258,Ochai Agbaji,Toronto Raptors,4114200
82,OG Anunoby,New York Knicks,18642857
305,Olivier-Maxence Prosper,Dallas Mavericks,2733360
303,Omer Yurtseven,Utah Jazz,2800000
474,Onuralp Bitim,Chicago Bulls,334582
178,Onyeka Okongwu,Atlanta Hawks,8109063
425,Orlando Robinson,Miami Heat,1801769
349,Oshae Brissett,Boston Celtics,2165000
209,Otto Porter Jr.,Toronto Raptors,6300000
240,Ousmane Dieng,Oklahoma City Thunder,4798440
139,P.J. Tucker,LA Clippers,11014500
99,P.J. Washington,Dallas Mavericks,16847826
134,Paolo Banchero,Orlando Magic,11608080
21,Pascal Siakam,Indiana Pacers,37893408
165,Pat Connaughton,Milwaukee Bucks,9423869
336,Patrick Baldwin Jr.,Washington Wizards,2337720
377,Patrick Beverley,Milwaukee Bucks,2019706
157,Patrick Williams,Chicago Bulls,9835881
471,Patty Mills,Miami Heat,475908
10,Paul George,LA Clippers,45640084
187,Paul Reed,Philadelphia 76ers,7723000
260,Payton Pritchard,Boston Celtics,4037278
339,Peyton Watson,Denver Nuggets,2303520
328,PJ Dozier,Minnesota Timberwolves,2413304
250,Precious Achiuwa,New York Knicks,4379527
331,Quentin Grimes,Detroit Pistons,2385720
398,R.J. Hampton,Miami Heat,1997238
443,Rayan Rupert,Portland Trail Blazers,1119563
380,Reggie Bullock Jr.,Houston Rockets,2019706
237,Reggie Jackson,Denver Nuggets,5000000
127,Richaun Holmes,Washington Wizards,12046020
214,Ricky Rubio,Cleveland Cavaliers,6146342
60,RJ Barrett,Toronto Raptors,23883929
133,Robert Covington,Philadelphia 76ers,11692308
135,Robert Williams III,Portland Trail Blazers,11571429
366,Robin Lopez,Milwaukee Bucks,2019706
162,Royce O'Neale,Phoenix Suns,9500000
206,Rudy Gay,Golden State Warriors,6479000
13,Rudy Gobert,Minnesota Timberwolves,41000000
101,Rui Hachimura,Los Angeles Lakers,15740741
271,Russell Westbrook,LA Clippers,3835738
384,Ryan Arcidiacono,New York Knicks,2019706
247,Saddiq Bey,Atlanta Hawks,4556983
411,Sam Hauser,Boston Celtics,1927896
400,Sam Merrill,Cleveland Cavaliers,1997238
356,Sandro Mamukelashvili,San Antonio Spurs,2019760
346,Santi Aldama,Memphis Grizzlies,2194200
207,Sasha Vezenkov,Sacramento Kings,6341464
159,Scoot Henderson,Portland Trail Blazers,9770880
179,Scottie Barnes,Toronto Raptors,8008560
261,Seth Curry,Charlotte Hornets,4000000
208,Shaedon Sharpe,Portland Trail Blazers,6313800
34,Shai Gilgeous-Alexander,Oklahoma City Thunder,33386850
466,Shake Milton,New York Knicks,552938
441,Sidy Cissoko,San Antonio Spurs,1119563
291,Simone Fontecchio,Detroit Pistons,3044872
439,Spencer Dinwiddie,Los Angeles Lakers,1554654
468,Stanley Umude,Detroit Pistons,538460
1,Stephen Curry,Golden State Warriors,51915615
117,Steven Adams,Houston Rockets,12600000
392,Svi Mykhailiuk,Boston Celtics,2019706
176,T.J. McConnell,Indiana Pacers,8700000
473,Taj Gibson,Detroit Pistons,348225
138,Talen Horton-Tucker,Utah Jazz,11020000
277,Tari Eason,Houston Rockets,3527160
192,Taurean Prince,Los Angeles Lakers,7455000
224,Taylor Hendricks,Utah Jazz,5569920
146,Terance Mann,LA Clippers,10576923
66,Terry Rozier,Miami Heat,22205221
390,Terry Taylor,Chicago Bulls,2019706
463,Thaddeus Young,Phoenix Suns,638413
376,Thanasis Antetokounmpo,Milwaukee Bucks,2019706
318,Thomas Bryant,Miami Heat,2528233
89,Tim Hardaway Jr.,Dallas Mavericks,17897728
19,Tobias Harris,Philadelphia 76ers,39270150
319,Torrey Craig,Chicago Bulls,2528233
444,Toumani Camara,Portland Trail Blazers,1119563
18,Trae Young,Atlanta Hawks,40064220
448,Trayce Jackson-Davis,Golden State Warriors,1119563
155,Tre Jones,San Antonio Spurs,9895833
288,Tre Mann,Charlotte Hornets,3191280
373,Trendon Watford,Brooklyn Nets,2019706
465,Trent Forrest,Atlanta Hawks,553151
180,Trey Lyles,Sacramento Kings,8000000
281,Trey Murphy III,New Orleans Pelicans,3359280
355,Tristan Thompson,Cleveland Cavaliers,2019796
262,Troy Brown Jr.,Detroit Pistons,4000000
324,Ty Jerome,Cleveland Cavaliers,2439025
51,Tyler Herro,Miami Heat,27000000
218,Tyrese Haliburton,Indiana Pacers,5808435
435,Tyrese Martin,Brooklyn Nets,1719864
251,Tyrese Maxey,Philadelphia 76ers,4343920
110,Tyus Jones,Washington Wizards,14000000
186,Vasilije Micic,Charlotte Hornets,7723000
164,Victor Oladipo,Memphis Grizzlies,9450000
124,Victor Wembanyama,San Antonio Spurs,12160680
342,Vince Williams Jr.,Memphis Grizzlies,2232308
341,Vlatko Cancar,Denver Nuggets,2234359
300,Walker Kessler,Utah Jazz,2831160
113,Wendell Carter Jr.,Orlando Magic,13050000
326,Wendell Moore Jr.,Minnesota Timberwolves,2421720
393,Wesley Matthews,Atlanta Hawks,2019706
315,Willy Hernangomez,New Orleans Pelicans,2559942
432,Xavier Cooks,Washington Wizards,1719864
407,Xavier Tillman,Boston Celtics,1930681
334,Yuta Watanabe,Memphis Grizzlies,2346614
188,Zach Collins,San Antonio Spurs,7700000
17,Zach LaVine,Chicago Bulls,40064220
255,Zeke Nnaji,Denver Nuggets,4306281
239,Ziaire Williams,Memphis Grizzlies,4810200
31,Zion Williamson,New Orleans Pelicans,34005250
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
