County FIPS,County Name,State Name,5 digit 2024 jobs,6 digit 2024 jobs,Total,Share
35043,Sandoval,New Mexico,6,47,53,0.2%
29099,Jefferson,Missouri,52,0,53,0.1%
21185,Oldham,Kentucky,0,52,52,0.3%
22105,Tangipahoa,Louisiana,0,52,52,0.1%
9003,Hartford CT,Connecticut,1,51,52,0.0%
40125,Pottawatomie,Oklahoma,0,52,52,0.2%
18183,Whitley,Indiana,0,52,52,0.4%
40133,Seminole,Oklahoma,0,52,52,0.7%
48181,Grayson,Texas,0,52,52,0.1%
13233,Polk,Georgia,0,52,52,0.5%
40121,Pittsburg,Oklahoma,0,52,52,0.3%
42087,Mifflin,Pennsylvania,0,52,52,0.3%
13145,Harris,Georgia,52,0,52,0.8%
20095,Kingman,Kansas,0,52,52,1.9%
35001,Bernalillo,New Mexico,0,52,52,0.0%
48435,Sutton,Texas,0,51,51,4.3%
30101,Toole,Montana,0,51,51,2.8%
55003,Ashland,Wisconsin,0,51,51,0.6%
28133,Sunflower,Mississippi,0,51,51,0.6%
45051,Horry,South Carolina,0,50,50,0.0%
48185,Grimes,Texas,0,50,50,0.6%
29145,Newton,Missouri,0,50,50,0.2%
48427,Starr,Texas,0,50,50,0.3%
19015,Boone,Iowa,14,36,50,0.6%
39123,Ottawa,Ohio,0,49,49,0.3%
12117,Seminole,Florida,1,48,49,0.0%
17011,Bureau,Illinois,0,49,49,0.5%
38069,Pierce,North Dakota,0,49,49,3.0%
45031,Darlington,South Carolina,0,49,49,0.2%
21079,Garrard,Kentucky,45,4,49,1.8%
48283,La Salle,Texas,0,49,49,1.5%
13095,Dougherty,Georgia,0,49,49,0.1%
51067,Franklin,Virginia,2,46,48,0.3%
48287,Lee,Texas,0,48,48,0.6%
22007,Assumption,Louisiana,0,48,48,1.3%
18173,Warrick,Indiana,15,33,48,0.3%
28083,Leflore,Mississippi,0,48,48,0.4%
20027,Clay,Kansas,0,48,48,1.6%
55113,Sawyer,Wisconsin,0,48,48,0.7%
29071,Franklin,Missouri,12,36,47,0.1%
6089,Shasta,California,0,47,47,0.1%
29101,Johnson,Missouri,0,47,47,0.3%
47039,Decatur,Tennessee,0,47,47,1.3%
13067,Cobb,Georgia,6,41,47,0.0%
51121,Montgomery,Virginia,16,31,47,0.1%
54021,Gilmer,West Virginia,0,47,47,2.7%
47025,Claiborne,Tennessee,2,44,47,0.5%
1035,Conecuh,Alabama,0,46,46,1.4%
20153,Rawlins,Kansas,0,46,46,4.6%
48111,Dallam,Texas,0,46,46,1.0%
42045,Delaware,Pennsylvania,0,46,46,0.0%
37171,Surry,North Carolina,0,46,46,0.2%
18101,Martin,Indiana,0,46,46,0.6%
24009,Calvert,Maryland,0,46,46,0.2%
48051,Burleson,Texas,0,46,46,1.0%
31081,Hamilton,Nebraska,0,46,46,1.2%
20133,Neosho,Kansas,0,46,46,0.7%
20207,Woodson,Kansas,0,46,46,6.6%
48275,Knox,Texas,0,46,46,4.0%
55031,Douglas,Wisconsin,0,45,45,0.3%
13189,McDuffie,Georgia,0,45,45,0.6%
51041,Chesterfield,Virginia,0,44,45,0.0%
21153,Magoffin,Kentucky,42,3,45,2.3%
1115,St. Clair,Alabama,0,45,45,0.2%
21211,Shelby,Kentucky,0,45,45,0.3%
5103,Ouachita,Arkansas,0,44,44,0.6%
23019,Penobscot,Maine,0,44,44,0.1%
13001,Appling,Georgia,0,44,44,0.6%
47157,Shelby,Tennessee,14,30,44,0.0%
38013,Burke,North Dakota,0,44,44,6.5%
22065,Madison,Louisiana,0,44,44,1.4%
39103,Medina,Ohio,0,44,44,0.1%
48061,Cameron,Texas,0,43,43,0.0%
54101,Webster,West Virginia,43,0,43,2.9%
37025,Cabarrus,North Carolina,7,36,43,0.1%
28001,Adams,Mississippi,0,43,43,0.4%
17203,Woodford,Illinois,0,43,43,0.4%
39171,Williams,Ohio,0,43,43,0.3%
18027,Daviess,Indiana,0,43,43,0.3%
56041,Uinta,Wyoming,0,43,43,0.5%
51770,Roanoke City,Virginia,43,0,43,0.1%
27143,Sibley,Minnesota,0,42,42,1.1%
20081,Haskell,Kansas,0,42,42,2.5%
55013,Burnett,Wisconsin,0,42,42,0.8%
17041,Douglas,Illinois,0,42,42,0.5%
41013,Crook,Oregon,26,16,42,0.6%
16075,Payette,Idaho,0,42,42,0.6%
27089,Marshall,Minnesota,0,42,42,1.7%
39173,Wood,Ohio,0,42,42,0.1%
47185,White,Tennessee,0,42,42,0.6%
20065,Graham,Kansas,0,41,41,4.6%
