EnrStatus,Department,Year,YOG,Grade,CrsNo,Description,SecNo,T1AttTrmGr,T1Grd,T2AttTrmGr,T2Grd,T3AttTrmGr,T3Grd,T4AttTrmGr,T4Grd,Exam,FG,Credit,Credit.1,PotentialCredit,Term,TeacherNum
Active,MAT,2023,2025,10,5021,Math 2 H,10,Y,A,Y,A,Y,B+,Y,A-,C,A-,12,12,,FY,12
Active,MAT,2021,2024,9,5411,Math 1  CP,2,,A,,B,,B,,A,,A,5,12,,FY,39
Active,MAT,2022,2024,10,5171,Math 2 ACP,6,,B,,C,,B,,C+,,B-,5,12,,FY,18
Active,MAT,2023,2024,11,5181,Math 3 ACP,3,Y,A-,Y,B,Y,B,Y,B,C,B,12,12,,FY,37
W07,,2016,2019,9,5161,Math 1 ACP,1,,C,,C-,,C-,,D-,B-,C-,5,5,,FY,6
W07,MAT,2019,2019,12,5441,Topics in Pre-Calculus CP,2,,A-,,B-,,D,,B,,B-,5,5,,FY,3
W07,,2011,2015,9,5011,Honors Math 1,,,A,,A,,A,,A,A,A,5,5,,,1
W07,,2012,2015,10,5021,Honors Math 2,,,A-,,A-,,A,,A-,A,A,5,5,,,1
W07,,2013,2015,11,5031,Math 3 H,,,A,,A,,A,,A,A,A,5,5,,,1
W07,,2013,2016,9,5111,Math 1 ACP Acc,,,A-,,B-,,B,,A-,B,B,5,5,,,1
W07,,2014,2016,10,5121,Math 2 ACP Acc,,,B,,A-,,B-,,B+,C,B,5,5,,,1
W07,,2015,2016,11,5131,Math 3 ACP Acc,,,B+,,C+,,B,,B-,C-,B-,5,5,,,1
W07,,2016,2016,12,5141,Intro to Calculus ACP Acc,1,,B,,B-,,C-,,C+,,C+,5,5,,FY,3
W20,MAT,2019,2022,9,5111,Math 1 ACP Acc,3,,B-,,B,,B+,1,B,D,B,5,5,,FY,12
W20,MAT,2020,2022,10,5121,Math 2 ACP Acc,3,,A-,,A-,,P,,,,A-,5,5,,FY,15
W07,MAT,2019,2022,9,5011,Math 1 H,1,,A,,A-,,B-,,A-,F,B,5,5,,FY,5
W07,MAT,2020,2022,10,5021,Math 2 H,7,,A-,,A-,,P,,,,A,5,5,,FY,15
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,3,,A,,A,,A,,A,,A,5,5,,FY,21
W07,MAT,2022,2022,12,5081,AP Calculus 4 AB,1,,A,,A,,A,,A,,A,5,5,,FY,10
Active,MAT,2022,2025,9,5011,Math 1 H,15,,,,,,A,,A,,A,5,12,,FY,74
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,15,,A,,A,,,,,,,5,,,FY,74
Active,MAT,2023,2025,10,5021,Math 2 H,8,Y,A,Y,A,Y,A,Y,A,A,A,12,12,,FY,29
W07,MAT,2019,2020,11,5131,Math 3 ACP Accelerated (Pre-Calculus),2,,B-,,C,,C-,,B-,B-,C+,5,5,,FY,26
W07,MAT,2020,2020,12,5141,Intro to Calculus ACP Acc,4,,B,,B+,,P,,,,B,5,5,,FY,27
W07,,2007,2010,9,5111,Mathematics 1 Acc,,,,,,,,,,,A,5,5,,,1
W07,,2008,2010,10,5121,Mathematics 2 Acc,,,,,,,,,,,A,5,5,,,1
W07,,2009,2010,11,5131,Mathematics 3 Acc,,,,,,,,,,,B,5,5,,,1
W07,,2010,2010,12,5141,Introduction to Calculus Acc A,,,B-,,A,,C+,,B,,B,5,5,,,1
Active,MAT,2023,2026,9,5011,Math 1 H,12,,,Y,A,Y,A,Y,A-,A,A,12,12,,FY,37
Active,MAT,2023,2026,9,5012,Math 1 Accelerated/Honors,12,Y,A-,,,,,,,,,12,,,FY,37
W07,MAT,2018,2021,9,5111,Math 1 ACP Acc,3,,C+,,B,5,C,,C+,,C,5,5,,FY,12
W07,MAT,2019,2021,10,5171,Math 2 ACP,4,,C+,,B,,B-,,A-,B-,B,5,5,,FY,31
W07,MAT,2020,2021,11,5181,Math 3 ACP,3,,A,,A-,,P,,,,A,5,5,,FY,21
W07,MAT,2021,2021,12,5191,Trigonometry & Statistics ACP,1,,A,,A,,A,,A,,A,5,5,,FY,45
W07,,2015,2018,9,5161,Math 1 ACP,,,N,,B-,,C-,,B+,B+,B-,5,5,,,1
W07,,2016,2018,10,5171,Math 2 ACP,2,,C,,B-,,A-,,A,A-,B+,5,5,,FY,29
W07,,2017,2018,11,5181,Math 3 ACP,1,,D,,C,,D,,C,B-,C-,5,5,,FY,1
W07,MAT,2018,2018,12,5191,Pre-Calculus ACP,3,,C,,C,,NC,,F,,C-,5,5,,FY,37
W01,,2014,22,9,5411,Math 1  CP,,,C+,,B,,C+,,A,C+,B,5,5,,,1
W01,,2015,22,10,5421,Math 2  CP,,,C,,C,,B-,,C+,C-,C,5,5,,,1
W01,,2016,22,11,5431,Math 3  CP,1,,A,,A,,A-,,A,A-,A,5,5,,FY,14
W01,,2017,22,12,5441,Topics in Pre-Calculus CP,1,,B,,D+,,A,,B,,B,5,5,,FY,3
Active,MAT,2022,2025,9,5161,Math 1 ACP,7,,D,,D+,,D,,D-,,D,5,12,,FY,43
Active,MAT,2023,2025,10,5171,Math 2 ACP,6,Y,C+,Y,C,Y,B-,Y,B,C-,C+,12,12,,FY,25
W07,,2007,2010,9,5811,Math 1  I (Simms),,,,,,,,,,,B-,5,5,,,1
W07,,2008,2010,10,5171,Math 2  I,,,,,,,,,,,A-,5,5,,,1
W07,,2009,2010,11,5181,Math 3  I,,,,,,,,,,,B+,5,5,,,1
W07,,2010,2010,12,5191,Precalculus I,,,A,,A,,A,,A,,A,5,5,,,1
W07,,2017,2020,9,5011,Math 1 H,8,,A,,A,,A,,A-,A,A,5,5,,FY,47
