,Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
52,194912220BOS,MNL,game,,Don Carlson,carlsdo01,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
53,194912220BOS,MNL,game,,Tony Jaros,jarosto01,,0.0,,,,,,0.0,0.0,,,,,,,,,3.0,0.0,,
54,194912220BOS,BOS,game,,Tony Lavelli,lavelto01,,9.0,16.0,0.563,,,,8.0,11.0,0.727,,,,,,,,2.0,26.0,,
55,194912220BOS,BOS,game,,Dermie O'Connell,oconnde01,,9.0,19.0,0.474,,,,1.0,2.0,0.5,,,,,,,,0.0,19.0,,
56,194912220BOS,BOS,game,,Howie Shannon,shannho01,,5.0,,,,,,2.0,3.0,0.667,,,,,,,,1.0,12.0,,
57,194912220BOS,BOS,game,,Bob Kinney,kinnebo01,,2.0,,,,,,5.0,8.0,0.625,,,,,,,,6.0,9.0,,
58,194912220BOS,BOS,game,,Ed Leede,leedeed01,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,7.0,,
59,194912220BOS,BOS,game,,George Kaftan,kaftage01,,1.0,,,,,,2.0,2.0,1.0,,,,,,,,1.0,4.0,,
60,194912220BOS,BOS,game,,Bob Doll,dollbo01,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,0.0,3.0,,
61,194912220BOS,BOS,game,,Gene Englund,engluge01,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,5.0,3.0,,
62,194912220BOS,BOS,game,,Sonny Hertzberg,hertzso01,,1.0,,,,,,0.0,0.0,,,,,,,,,0.0,2.0,,
63,194912220BOS,BOS,game,,Jim Seminoff,seminji01,,0.0,,,,,,2.0,2.0,1.0,,,,,,,,0.0,2.0,,
64,194912220BOS,BOS,game,,Brady Walker,walkebr01,,0.0,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,
65,195001080MNL,BOS,game,,Bob Kinney,kinnebo01,,8.0,15.0,0.533,,,,2.0,3.0,0.667,,,,0.0,,,,6.0,18.0,,
66,195001080MNL,BOS,game,,Sonny Hertzberg,hertzso01,,7.0,15.0,0.467,,,,0.0,1.0,0.0,,,,4.0,,,,0.0,14.0,,
67,195001080MNL,BOS,game,,Bob Doll,dollbo01,,5.0,14.0,0.357,,,,3.0,3.0,1.0,,,,6.0,,,,2.0,13.0,,
68,195001080MNL,BOS,game,,Howie Shannon,shannho01,,4.0,10.0,0.4,,,,4.0,5.0,0.8,,,,4.0,,,,3.0,12.0,,
69,195001080MNL,BOS,game,,Jim Seminoff,seminji01,,3.0,5.0,0.6,,,,4.0,4.0,1.0,,,,3.0,,,,3.0,10.0,,
70,195001080MNL,BOS,game,,Gene Englund,engluge01,,1.0,5.0,0.2,,,,5.0,5.0,1.0,,,,1.0,,,,6.0,7.0,,
71,195001080MNL,BOS,game,,George Kaftan,kaftage01,,1.0,3.0,0.333,,,,1.0,2.0,0.5,,,,2.0,,,,3.0,3.0,,
72,195001080MNL,BOS,game,,Ed Leede,leedeed01,,0.0,5.0,0.0,,,,3.0,4.0,0.75,,,,4.0,,,,3.0,3.0,,
73,195001080MNL,BOS,game,,Tony Lavelli,lavelto01,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,
74,195001080MNL,BOS,game,,Brady Walker,walkebr01,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,1.0,0.0,,
75,195001080MNL,MNL,game,,George Mikan,mikange01,,8.0,35.0,0.229,,,,14.0,16.0,0.875,,,,2.0,,,,5.0,30.0,,
76,195001080MNL,MNL,game,,Jim Pollard,pollaji01,,13.0,38.0,0.342,,,,1.0,1.0,1.0,,,,1.0,,,,2.0,27.0,,
77,195001080MNL,MNL,game,,Bob Harrison,harribo02,,4.0,13.0,0.308,,,,1.0,1.0,1.0,,,,2.0,,,,6.0,9.0,,
78,195001080MNL,MNL,game,,Tony Jaros,jarosto01,,1.0,6.0,0.167,,,,3.0,7.0,0.429,,,,1.0,,,,1.0,5.0,,
79,195001080MNL,MNL,game,,Don Carlson,carlsdo01,,1.0,3.0,0.333,,,,2.0,3.0,0.667,,,,3.0,,,,4.0,4.0,,
80,195001080MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,2.0,5.0,0.4,,,,0.0,0.0,,,,,0.0,,,,0.0,4.0,,
